ÃÄ«~¥N½X,ÃÄ«~¾Ç¦W,ÃÄ«~¦WºÙ,ÃÄ«~¤ÀÃþ,¾AÀ³¯g,¸T§Ò,°Æ§@¥Î,Àx¦s,¥Îªk¥Î¶q,¨x¥\¯à²§±`(Y/N),¨x¥\¯à²§±`»¡©ú,µÇ¥\¯à²§±`(Y/N),Ãh¥¥¥ÎÃÄ¦MÀI¤À¯Å,¥¥´Á¥ÎÃÄ«ØÄ³,¥¥´Áªþ±a»¡©ú,­÷¨Å´Á¥ÎÃÄ«ØÄ³,­÷¨Å´Áªþ±a»¡©ú,µ¹ÃÄ³~®|,°®¯»µ}ÄÀ²G,¿éª`ÂIºw²G,IVP¥Îªk«ØÄ³,IVD¥Îªk«ØÄ³,ª`·N¨Æ¶µ
IKET1,Ketamine,Ketalar inj 50mg/mL¡A 10mL,ZANE,Induction & maintenance of anaesth.,Patients at risk of complications of hypertension.,Respiratory depression; hypotension¡A bradycardia¡A arrhythmia; emergent reactions. Occasionally¡A laryngospasms; diplopia¡A nystagmus; tonic/clonic movement.,25¢J¥H¤UÁ×¥ú,Induction of general anesthesia: Adult: IV: Initial¡A 1-4.5 mg/kg as a single dose. The average amount required to produce 5-10 minutes of surgical anesthesia is 2 mg/kg¡A administer slowly (over 60 seconds); dose may be administered as an IV infusion at a rate of 0.5 mg/kg/minutes. In addition¡A diazepam in 2-5 mg doses¡A administered in a separate syringe over 60 seconds¡A may be used. In most cases¡A 15 mg or less of diazepam IV is enough. Adult: IM: initially 6.5-13 mg/kg as a single dose. Dosage of 10 mg/kg usually produce the surgical anesthetic effect lasting 12-25 minutes. Maintenance of anesthesia: Increments of 1/2 to the full induction dose may be repeated for maintenance of anesthesia. Adult patients induced with ketamine augmented with intravenous diazepam¡A may be maintanined with slow microdrip infusion ketamine at a dose of 0.1-0.5 mg/minute¡A and augmented with diazepam 2 to 5 mg administered intravenously as needed. In many cases 20 mg or less of intravenous diazepam total for combined induction and maintenance will suffice. For pediatric procedural sedation: Initial dose: 1-2mg/kg. When given with propofol: reduce to 0.5mg/kg. Repeat dose:0.5-1mg/kg repeat every 5-10 minutes¡A titrating to desired level of sedation.,»Ý½Õ¾ã¾¯¶q,¹ï©ó¦³¨xµw¤Æ©Î¨ä¥L¨x¥\¯à»ÙÃªªº±wªÌ¡AÀ³¦Ò¼{­°§C¾¯¶q,µL»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,No (limited) human data ¡V animal data suggest low risk,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,IM;IVD;IVP;IVPUSH;,,¡iD5W¡j¥i¿ï ¥é³æ«ØÄ³¡C¡iN/S¡j¥i¿ï ¥é³æ«ØÄ³¡C,±Àª`®É¶¡¦Ü¤Ö 60¬í,µ}ÄÀ©ó¾A·í¿éª`²G¡Aµ¹ÃÄ¿@«×1-2 mg/mL¡A¥H¿éª`³t²v 0.1 - 0.5 mg/min ºwª`,1. IV infusion: µ}ÄÀ©ó¾A·í¿éª`²G¡A¿@«×1-2 mg/mL¡A³t²v 0.1 - 0.5 mg/min ¡C
IKETBAD,Ketamine,Ketalar 50mg/mL ´Ý¾l¾PÀì,ZANE,,,,,,,,,,,,,,IM;IV;IVD;IVP;IVPUSH;,,,,,
OAMA,Glimepiride,AmaRyl 2mg,META,Type 2 diabetes mellitus.,Insulin-dependent (type 1) diabetes mellitus; diabetic ketoacidosis; diabetic precoma or coma; serious renal or hepatic dysfunction. Pregnancy¡A lactation.,Hypoglycaemia; adrenergic counter-regulation; temporary visual impairment; GI symptoms. Rarely thrombopenia¡A haemolytic anaemia¡A erythrocytopenia¡A leucopenia¡A agranulocytosis. Common: Hypoglycemia (4-19.7%)¡A Nausea (5%)¡A Asthenia¡A Dizziness (5%)¡A Headache (8.2%) Serious: Cutaneous hypersensitivity (<1%)¡A Lichenoid drug eruption,30¢J¥H¤U,1-2 mg once daily at breakfast¡A maximum: 8 mg/day.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,No (limited) human data ¡V animal data suggest low risk,[¥é³æ] Ãh¥¥´Á¶¡À³¸T¥Îglimepiride¡A§_«h·|¦³¶Ë®`­L¨àªº­·ÀI¡AÃh¥¥±wªÌÀ³§ï¥Î¯Ø®q¯À¡C ­Y¦³­pµeÃh¥¥ªº¯f±w¡AÀ³¥ý³qª¾ªvÀøªºÂå®v¡C«ØÄ³¦¹Ãþ±wªÌ§ï¥Î¯Ø®q¯ÀªvÀø¡C,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,Glimepiride: No Human Data¡XProbably Compatible [¥é³æ] Glimepiride¬O§_·|¸g¥Ñ¤HÃþªº¨Å¥Ä±Æ°£©|¤£±o¦Óª¾¡C¦ý¬Oglimepiride·|±Æ°£©ó¦Ñ¹«ªº¨Å¥Ä¤¤¡C¦]¬°¨ä¥Lªºsulfonylureas·|±Æ°£©ó¤HÃþ¨Å¥Ä¡A¦]¦¹§l§m¥À¨ÅªºÀ¦¨à·|¦³§C¦å¿}ªº­·ÀI¡C ¬°Á×§K¥i¯à±q¥À¨ÅÄá¨ú¨ì¦Ó¶Ë®`À¦¨à¡A±Â¨Å´Á¶¡À³¸T¥Îglimepiride¡C­Y¦³¥²­n¡A±wªÌ»Ý§ï¥Î¯Ø®q¯ÀªvÀø©Î°±¤î§ë¨Å¡C,AC;AC15;PO;,,,,,[¿i¯»/ºÞÄéµù°O]¥é³æ«ØÄ³¤£¥i©CÄZ©ÎÀ£¸H¡C¼t°Ó¥çµL¬ÛÃö¦w©w©Ê¸ÕÅç¡C
OPCN,Penicillin V,Penicillin V 240mg,QANB,,¾AÀ³¯g: Treatment of mild to moderate respiratory tract infections¡A otitis media¡A sinusitis¡A skin & UTI; prophylaxis in rheumatic fever. °Æ§@¥Î: Diarrhea¡A nausea¡A vomiting¡A hypersensitivity reactions. ¸T§Ò: Hypersensitivity.,,«Ç·Å,Adult: 125-500 mg q6-8h. (max. 7.2 g/day). Child under 12 yrs: 15-56 mg/kg/day in 3-4 divided doses. To prevent recurrences of rheumatic fever 1 tab bid.,,,,¥i¯à¦w¥þ,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,
OPEA,Triprolidine + Pseudoephedrine,Peace 2.5/60mg,HIMM,Nasal congestion¡A allergic rhinitis.,Hypersensitivity to any component of the formulation.,Cardiovascular: Tachycardia Central nervous system: Dizziness¡A drowsiness¡A fatigue¡A headache¡A insomnia¡A nervousness¡A transient stimulation Gastrointestinal: Abdominal pain¡A appetite increase¡A diarrhea¡A nausea¡A weight gain¡A xerostomia Genitourinary: Dysuria Neuromuscular & skeletal: Arthralgia¡A weakness Respiratory: Pharyngitis¡A thickening of bronchial secretions Miscellaneous: Diaphoresis,25¢J¥H¤UÁ×¥ú,TID-QID¡A Adult and children >12 years 1 TAB¡A Children 6-12 years 0.5 TAB¡A 3-6 years 0.25 TAB¡A < 3 years as doctors' order.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Human (and animal) data suggest risk,Triprolidine- Compatible Pseudoephedrine Human Data Suggest Risk,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,Triprolidine- Limited Human Data¡XProbably Compatible Pseudoephedrine -Limited Human Data¡XProbably Compatible,AC;AC15;PC;PO;WM;,,,,,
OPER2,Dipyridamole,Persantin 25mg,HEMT,,,,,,,,,,,,,,,,,,,
OPERD,Nicardipine,Perdipine 20mg,CAVS,,¾AÀ³¯g:Cerebral blood flow disturbances¡A Essential hypertension. °Æ§@¥Î: Infrequently¡A anorexia¡A nausea¡A vomiting; flushing; palpitation; headache. Rarely¡A granulocytopenia; dry mouth¡A constipation¡A diarrhea; peripheral edema; rash. Cardiovascular: Hypotension (5.6% )¡A Peripheral edema (5.9% )¡A Tachyarrhythmia (3.5% ) Gastrointestinal: Nausea (1.9% to 4.9% )¡A Vomiting (0.6% to 4.9%) Neurologic: Headache (6.2% to 14.6% ) ¸T§Ò: Incomplete hemostasis following intracranial hemorrhage; acute cerebral apoplexy¡A elevated intracranial pressure.,,«Ç·Å,Cerebral blood flow disturbances Adult 20 mg tid. Essential hypertension Adult 10-20 mg tid.,,,,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,,,,,,
OPHE,Phenobarbital,Phenobarbital 30mg,CNEU,Generalised tonic-clonic seizures¡A Partial seizures¡A Sedation¡A Hypnotic.,Severe renal and hepatic disorders. Severe respiratory depression¡A dyspnoea or airway obstruction; porphyria. Pregnancy.,Bradycardia¡A hypotension¡A syncope; drowsiness¡A lethargy¡A CNS excitation or depression¡A impaired judgment¡A hangover effect¡A confusion¡A somnolence¡A agitation¡A hyperkinesia¡A ataxia¡A nervousness¡A headache¡A insomnia¡A nightmares¡A hallucinations¡A anxiety¡A dizziness; rash¡A exfoliative dermatitis; nausea¡A vomiting¡A constipation; agranulocytosis¡A thrombocytopenia¡A megaloblastic anaemia; pain at inj site¡A thrombophlebitis (IV); oliguria: laryngospasm¡A respiratory depression¡A apnoea (especially with rapid IV admin)¡A hypoventilation. Potentially Fatal: Stevens-Johnson syndrome. Neurologic: Somnolence (1% to 3% ),³±²D(15-30¢J) °®Àê³B©Ò,Adult: For anticonvulsant or ataxia: Oral: 100-200 mg HS or TID. For hypnotic: 100-200 mg HS. For CYP450 inducer: 30-60 mg TID. For sedative: 15-32 mg BID-TID. Child:For anticonvulsant or ataxia: Oral: 3-5 mg/kg HS or TID. For hypnotic: following doctor instruction. For CYP450 inducer¡Aneonatel: 5-10 mg/kg. For CYP450 inducer¡A Child under 12 years : 1-4 mg/kg TID. For sedative: 2mg/kg or 60mg/BSA(m2) TID.,µL»Ý½Õ¾ã¾¯¶q,ÄY­«¨x¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,µL»Ý½Õ¾ã¾¯¶q,ºÉ¶qÁ×§K,Human (and animal) data suggest risk,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,AC;P1;P2;P3;P4;PC;PO;,,,,,[¿i¯»/ºÞÄéµù°O]¬°Á×§KºÞ¨îÃÄ«~¦¾¬V¤À¥]¾÷¡AºÞ¨îÃÄ«~¤£¿i¯»¡A½Ð¨Ï¥Î«e¦Û¦æ¬ã¿i¡C
OPIM,Pimozied,Pimozide(Orap)4mg,CNEU,,Chronic psychotics¡A responsive specific antipsychotic effects of neuroleptics. Borderline psychosis.,,,Adult initally 1-2mg once daily. Optimum daily maintenance dose:2-6 mg in one intake.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
OPLA,Hydroxychloroquine,Plaquenil 200mg,QANP,RA¡A Juvenile chronic arthritis¡A Systemic or discoid lupus erythematosus¡A Light-sensitive disease¡A Suppression of malaria.,Retinal or visual field changes. Long-term therapy in children.,Headache¡A GI complaints; skin reactions; psychic stimulation¡A bleaching of hair¡A alopecia¡A blurred vision¡A difficulty in focusing or accommodation¡A corneal changes¡A retinal changes; blood dyscrasias.,Á×Àã¡AÀx¦s©ó25¢J¥H¤U,Other indications except malaria:Adults:Generally treated with lowest effective dose. 200mg or 400mg daily¡A maximum dose:6.5mg/kg/day(calculated with ideal body weight).Children:Should be treated with lowest effective dose¡A maximum dose:6.5mg/kg/day(calculated with ideal body weight).For children ideal body weight < 31kg¡A should avoid dose of 200mg tablet each time.Suppression of malaria:Adult 400 mg on the same day of each weeks. Children & infant 6.5 mg/kg body weight. Maximum: Adult dose regardless of wt. Suppressive therapy should begin 2 weeks prior to exposure. Failing this¡A in adults an initial double (loading) dose of 800 mg¡A or in children 12.9 mg/kg (maximum: 800 mg)¡A may be taken in 2 divided doses¡A 6 hr apart. The suppressive therapy should be continued for 8 weeks after leaving the endemic area. Treatment of acute attack of malaria: Adult Initially 800 mg followed by 400 mg in 6-8 hours & 400 mg on each of 2 consecutive days. Alternatively¡A 800 mg as single dose. Infant & children first dose: 12.9 mg/kg (but not exceeding a single dose of 800 mg); 2nd dose: 6.5 mg/kg (but not exceeding 400 mg) 6 hours after first dose; 3rd dose: 6.5 mg/kg (but not exceeding 400 mg) 18 hours after 2nd dose; 4th dose: 6.5 mg/kg (but not exceeding 400 mg) 24 hours after 3rd dose. Total dose of 32 mg/kg body weight (not exceeding 2 g) over 3 days,µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,ºÉ¶qÁ×§K,No (limited) human data ¡V probably compatible,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,PC;PO;WM;,,,,,
OPOL2,Chlorpheniramine,Polaramine 2mg,HIMM,,i: Allergic and vasomotor rhinitis¡A allergic conjunctivitis¡A mild and uncomplicated allergic skin manifestations of urticaria and angioedema. ADR: Drowsiness¡A urticaria¡A drug rash¡A anaphylactic shock¡A photosensitivity¡A excessive perspiration¡A chills¡A dry mouth¡A nose & throat. CI: Newborn & premature infants. MAOI therapy.,,RT,Adult: 2mg tid-qid. Child: 1mg tid-qid.,,,,¥i¯à¦w¥þ,,,,,,,,,,
OPLET,Cilostazol,Pletaal 50mg,HEMT,,¾AÀ³¯g: Reduction of symptoms of intermittent claudication¡A as indicated by an increased walking distance. °Æ§@¥Î: Abdominal pain¡A back pain¡A headache¡A infection¡A palpitation¡A tachycardia¡A GI effects¡A peripheral edema¡A myalgia¡A dizziness¡A vertigo¡A cough¡A pharyngitis¡A rhinitis. Cardiovascular: Palpitations (5% to 10% )¡A Peripheral edema (7% to 9% )¡A Tachyarrhythmia (4% ) Gastrointestinal: Abdominal pain (4% to 5% )¡A Diarrhea (12% to 19% )¡A Feces contents abnormal (12% to 15% )¡A Indigestion (6% ) Hematologic: Decreased platelet aggregation Musculoskeletal: Backache (6% to 7% )¡A Myalgia (2% to 3% ) Neurologic: Dizziness (9% to 10% )¡A Headache (27% to 34% ) Respiratory: Increasing frequency of cough (3% to 4% )¡A Pharyngitis (7% to 12% )¡A Rhinitis (7% to 12% ) Other: Infectious disease (10% to 14% ) ¸T§Ò: Patients with CHF of any severity.,,«Ç·Å,100 mg BID,,,,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,,,,,,
OSOL,Amisulpride,Solian 200mg,CNEU,,¾AÀ³¯g:Treatment of psychoses¡A particularly acute or chronic schizophrenic disorders¡A characterized by +ve symptoms (e.g. delirium¡A hallucinations¡A thought disorders) &/or -ve symptoms (eg blunted emotions¡A emotional & social withdrawal)¡A including when the -ve symptoms predominate. °Æ§@¥Î:Insomnia¡A anxiety¡A agitation¡A extrapyramidal symptoms; galactorrhea¡A amenorrhea¡A gynecomastia¡A swollen breasts¡A impotence¡A frigidity¡A weight gain; GI disturbances. Occasionally¡A daytime drowsiness. ¸T§Ò:Known or suspected pheochromocytoma carriers. Children < 15 years. Lactation. Known or suspected prolactin-dependent tumour¡A eg prolactin-secreting pituitary adenoma & breast cancer. Severe renal insufficiency. Congenital galactosemia¡A glucose or galactose malabsorption syndrome or lactase deficiency (due to lactose content). In combination with sultopride; dopaminergic agonists except L-dopa (amantadine¡A apomorphine¡A bromocriptine¡A cabergoline¡A entacapone¡A lisuride¡A pergolide¡A piribedil¡A pramipexole¡A quinagolide¡A ropinirole¡A selegiline)¡A except in the case of patients with Parkinson's disease.,,«Ç·Å,<=400 mg daily dose¡A single intake. >400 mg¡A in 2 divided doses. Predominant -ve episode 50-300 mg/day as individualized dosage. Optimum dosage: 100 mg/day. Mixed episodes w/ +ve & -ve symptoms 400-800 mg/day as individualized dosage to maintain min effective dose. Acute psychotic episodes Initiate with max 400 mg/day IM¡A replaced thereafter with 400-800 mg orally¡A max dosage: 1200 mg. Renal insufficiency CrCl 30-60 mL/min: reduce dose by 1/2. CrCl 10-30 mL/min: reduce dose to 1/3.,,,,¨S¦³¸ê®Æ,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,
ENS5,Sodium Chloride,0.9%NaCl irrigation (Normal Saline) 500mL(¨R¬~¥Î),MSIV,Wound cleansing¡A irrigation & flushing.,Not to be used to induce emesis.,,«Ç·Å,For Irrigation Only. Not for Injection. As sterile irrigation of tissues or wounds¡A and for washing¡A rinsing medical device.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¦w¥þ,Compatible,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,EXT;G;GAR;IH;IN;INHL;IRR;IRRI;NA;ORO;RT;SKIN;TOPI;,,,,,
ENS1,Sodium Chloride,Normal Saline irrigation 1000mL,NUTR,,¾AÀ³¯g: Wound cleansing¡A irrigation & flushing. ¸T§Ò: Not to be used to induce emesis.,,,,,,,,,,,,IRR;IRRI;,,,,,
EULE,Crotamiton,Ulex À¿²G 10%¡A 30gm,TDER,Non-atopic allergy¡A urticaria¡A eczema.,Hypersensitivity to any component of the formulation.,Local skin irritations.,25¢J¥H¤U,Scabies¡A Apply several times daily for 5 days Pruritus¡A Apply several times daily,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,EXT;,,,,,
OZYB,Bupropion,Zyban SR 150 mg,ZADT,,¾AÀ³¯g:·ÏÅ}»²§U§Ùªv¾¯(B023941100),,RT,Adult Start treatment while patient is still smoking & set a "target stop date" w/in 1st 2 wk of treatment. Initially 150 mg daily for 3 days increasing to 150 mg bid¡A at least 8 hr between successive dose. Max: 150 mg/dose¡A 300 mg/day. Treat for at least 7 wk.,,,,¥i¯à¦w¥þ,,,,,,,,,,
IGLYT,Nitroglycerin,Glyceryl trinitrate inj 50mg/10mL,CAVS,,,,RT,IV infusion: Initially¡A 5 mcg/min; may be increased by 5 mcg/min q3-5 mins until a response is noted.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
ICHL1,Chloramphenicol,Chloramphenicol inj 1gm,QANB,,¾AÀ³¯g:Streptococcal¡A pneumococcal¡A H. influenzae infection¡A whooping cough¡A pneumonia¡A brucellosis¡A UTI¡A enteritis¡A peritonitis¡A salmonellosis¡A rickettsiosis¡A granuloma inguinale¡A typhus¡A cholera¡A actinomycetes. °Æ§@¥Î:Reversible bone marrow depression¡A leukopenia¡A reticulocytopenia¡A thrombopenia & anemia. ¸T§Ò: Pregnancy & lactation¡A hypersensitivity¡A anemia.,,«Ç·Å,Adult 1g 12 hrly by IM or IV.,,,,°£«DªvÀø¤W»Ý­n,Compatible,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,,,,,,1. ºÊ´úÅé·Å¡BCBC¡B¦å²y¤À¤Æ­p¼Æ¡B¨xµÇ¥\¯à¡C 2. ·s¥Í¨à©Î¦­²£¨à¨Ï¥Î»Ýª`·N¡¨gray syndrome¡¨¡C 3. µ}ÄÀ¿@«×¡G100 mg/mL
EGLYQ,Hydroquinon,Glyquin XM cream 4% ¡A1oz,TDER,,Chloasma¡A melasma¡A freckles¡A senile lentigines¡A & other unwanted areas of melanin hyperpigmentation.,,RT,Apply to the affected area bid.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
ESPED,Antazoline + Tetryzoline,Spersallerg eye drop 10mL,TOPH,,¾AÀ³¯g: Irritant conjunctivitis¡A allergic inflammatory conditions of the conjunctiva¡A particularly hay fever conjunctivitis & vernal conjunctivitis. °Æ§@¥Î: Mild burning sensation; headache¡A sleepiness¡A tachycardia. ¸T§Ò: Narrow-angle glaucoma.,,«Ç·Å,Acute stage: 1 drop 3 hrly. Continuous use: 1 drop 2-3 times daily. Severe cases: Use hrly. Infant Max: 1-2 drop daily.,,,,¨S¦³¸ê®Æ,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,
EGEND,Gentamicin,Garamycin eye drop 5mL,TOPH,,I: Treatment of superficial bacterial infection of the conjunctive¡A cornea¡A eyelids¡A tear ducts¡A and skin adjacent to the eyes. CI: Garamycin solution should never be injected subconjunctivally¡A nor directly introduced into the anterior chamber of the eye.,,RT,Oph. oint.: tid-qid. Oph. soln: 1-2 gtt tid-qid.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
ESUP,Desflurane,Suprane 240mL,ZANE,Inhalation agent for induction & maintenance of general anesth.,Patient in whom general anaesth is contraindicated. Sensitivity to halogenated agents. Genetic susceptibility to malignant hyperthermia.,Dose-dependent hypotension & respiratory depression. Cough¡A breath holding¡A salivation¡A apnoea & laryngospasm. Post-op nausea & vomiting. Transient increase of WBC count¡A malignant hyperthermia.,15-30¢J,Induction: Adult Initially 3%¡A increased by 0.5-1% every 2-3 breaths. Inspired concentration of 4-11% produces surgical anesthesia in 2-4 minutes. Maintenance: Adult whether mix nitrous oxide or not¡A 2.5-8.5% Suprane. Children 5.2-10% Suprane.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¥i¯à¦w¥þ,No (limited) human data ¡V animal data suggest low risk,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,IH;,,,,,1.Suprane (desflurane) should be administered only by persons trained in the administration of general anesthesia. It should only be administered using a vaporizer specifically designed and designated for use with Suprane. 2.The administration of general anesthesia must be individualized based on the patient¡¦s response¡A including cardiovascular and pulmonary changes. 3.Suprane (desflurane) should not be used as the sole agent for anesthetic induction in patients with coronary artery disease
ETAL,Tetracycline + Amphotericin B,Talsutin VT 100/50mg,SGU,,¾AÀ³¯g:©À¯]µß¡BºwÂÎ©Î²Óµß·P¬V©Ò¤Þ°_¤§³±¹Dª¢(A034794500),,RT,Intravaginal¡A 1-2 vag. tab/day for 2 wks.,,,,¨S¦³¸ê®Æ,,,,,,,,,,
IRIN,Betamethasone Disodium Phosphate,Rinderon inj 2mg/0.5mL,HM,,Emergency use in conditions or situations where a rapid and intense hormonal effect is necessary or desirable.,,,Initial: 1-2 ml to be repeated at 3 or 4 hrs interval. Maintenance: 0.5-1 ml.,,,,,,,,,,,,,,
OGLU,Metformin,Glucomine F.C. 500mg,META,,,,RT,250 - 1000 mg tid pc ( max: 3 g/day ).,,,,¥i¯à¦w¥þ,,,,,,,,,,
EALC9,Alcohol,95% Alcohol,TDER,Antiseptics and disinfectants.,Hypersensitivity to any component of the formulation.,Mild local discomfort.,¶J¦s¦b³±²D¡B°®Àê¡B¹jÂ÷¥B³q­·¨}¦nªº¦a°Ï¡A »·Â÷¼ö¡B¤Þ¿U·½¤Î¤£¬Û®eª«¡C,95% Alcohol contains 95% ethyl alcohol¡A can be diluted with purified water to the effective disinfecting strength of 70%.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,ºÉ¶qÁ×§K,Contraindicated,,No (Limited) Human Data ¡V Potential Toxicity(Mother) µL(«Ü¤Ö)¸ê®Æ ¡V Á×§K¨Ï¥Î(¥ÀÅé),,EXT;,,,,,
ISAN1,Octreotide,Sandostatin inj 0.1mg/1mL,HM,Symptomatic control & reduction of growth hormone & somatomedin C plasma levels in acromegaly; relief of symptoms associated with gastroenteropancreatic endocrine (GEP) tumors & carcinoid tumors including VIPomas¡A glucagonomas¡A gastrinomas/Zollinger-Ellison syndrome¡A insulinomas¡A GRFomas. Prevention of complications following pancreatic surgery. Bleeding gastro-oesophageal varices.,Known hypersensitivity to octreotide or one of the excipients (see Description) of Sandostatin,Anorexia¡A nausea¡A vomiting¡A crampy abdominal pain¡A abdominal bloating¡A flatulence¡A loose stools¡A steatorrhea¡A rarely progressive abdominal distension¡A severe epigastric pain¡A gallstones. Dermatologic: Injection site pain Endocrine metabolic: Hyperglycemia (1.5% to 16%)¡A Hypoglycemia (1.5% to 3%)¡A Hypothyroidism Gastrointestinal: Abdominal discomfort¡A Cholelithiasis (22% to 33% )¡A Constipation¡A Diarrhea¡A Flatulence¡A Nausea¡A Pancreatitis Hepatic: Disorder of biliary tract Neurologic: Dizziness¡A Headache,2-8¢J,Acromegaly: Initially IM 0.05-0.1mg every 8-12 hour¡A could increased up to 1.5mg. Functional gastrointestinal pancreatic endocrine tumor: Initially IM 0.05mg 1-2 times per day¡A followed by 0.1-0.2mg three times per day. Complications after pancreatic surgery: IM 0.1mg three times per day for 7 days. Bleeding esophageal varices: diluted in normal saline and IV infusion 25mcg per hour for 5 days.,µL»Ý½Õ¾ã¾¯¶q,¿©±w¨xµw¤Æªº¯f±w¥Ñ©óÃÄª«¥b°I´Á¥i¯à©µªø¡A©Ò¥H»Ý­n½Õ¾ã¾¯¶q,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Compatible,,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,IVD;SC;,,¡iN/S¡j¥i¿ï ¥é³æ«ØÄ³¡C,,Bleeding gastro-oesophageal varices 50 mcg/hr by IV infusion for max 5 days.,
