____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
EIND,Indomethacin,Indomethacin supp 50mg,CNEU,,___: Alleviation of pain. ___: GI upsets_ headache_ dizziness_ tinnitus_ lightheadedness_ depression_ insomnia_ psychiatric disturbances_ peripheral neuropathy_ blurred vision_ confusion; hyperglycaemia_ hyperkalaemia. Gastrointestinal: Abdominal pain (1% to 3% )_ Constipation (1% to 3% )_ Diarrhea (1% to 3% )_ Indigestion (3% to 9% )_ Nausea (3% to 9% ) Neurologic: Dizziness_ Headache_ Somnolence Otic: Tinnitus Psychiatric: Depression Other: Fatigue __: Active peptic ulcer; pregnancy (3rd trimester)_ hypersensitivity to aspirin and other NSAIDs; treatment of perioperative pain in CABG surgery; severe renal impairment; rectal admin in patients with proctitis and haemorrhoids; neonates with necrotizing enterocolitis_ active bleeding_ thrombocytopenia_ coagulation defects and untreated infections.,,__,50-100 mg qd.,______,,______,____,,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,RECT;,,,,,
ODIVI,Estradiol + Medroxyprogesterone,Diviseq 28's/pk,HM,,I: Signs & symptoms of naturally or surgically induced estrogen deficiency due to monopause. ___: GI disturbances_ nausea_ vomiting_ weight gain_ breast tenderness_ decreased libido_ headache_ chloasma_ itching. CI: known_ suspected or past history of breast carcinoma_ pregnancy. Undiagnosed abnormal gentital bleeding. Known or suspected estrogen-dependent neoplasia. Active thrombophlebitis or thromboembolic disorders. Application on the breast & vulvar mucosa areas. Acute or chronic liver disease_ porphyria.,,__,1 tab daily in a 28-day cycle.,,,,____,,,,,,,,,,
OACEO,Acemetacin,ACEO 90mg,CNEU,,Analgesia_ antipyresis_ anti-inflammatory_ actue gout.,,,1-2 tab daily Acute gout: 180 mg (1 tab BID) until pain is relieved.,,,,,,,,,,,,,,
OPAN3,Nefopam,Panagesic 30mg,CNEU,,___: Acute & chronic pain including post-op_ dental_ musculoskeletal_ acute traumatic & cancer pain. ___: Nausea_ vomiting_ nervousness_ dry mouth & light-headedness_ blurred vision_ drowsiness_ sweating_ insomnia_ headache_ tachycardia. __: History of convulsive disorders or those taking MAOI. Pregnancy.,,__,Adult: 1 tab tid-qid In severe pain_ single dose can be increased to 90 mg. Max recommanded dose in 24 hr: 300 mg,,,,____,,,Contraindicated _______,,,,,,,
IGEL,Succinylated Gelatin,Gelofusine 500mL_ 4%,HEMT,Primary vol replacement in hypovolaemia & shock due to acute blood or fluid loss_ burns & sepsis; prophylaxis of hypotension during epidural or spinal anaesth; haemodilution & autologous transfusion; extracorporeal circulation (haemodialysis_ heart lung machine).,Hypervolemia; hyperhydration; severe cardiac insufficiency; severe bleeding disorders; severe renal insufficiency.,As with all colloidal vol substitutes_ allergic_ (anaphylactic or anaphylactoid) reactions of varying severity can occur after infusion of Gelafundin/Gelofusine.,25___,Compensation of minor losses of blood or plasma_ pre- & intraoperative routine prophylaxis 500-1_000 mL infused over 1-3 hr. Major losses of blood or plasma Average dose is between 1_000 & 2_000 mL. Emergency situations or shock conditions Initially 500 mL administered by forced infusion over 5-10 mins. Thereafter_ the infusion can be continued with doses corresponding to actual losses of blood or plasma. During extracorporal circulation Normally_ between 500-1_000 mL.,______,Use with extreme caution,______,____,Uknown ____,,Unknown ____,,IVD;,,,,500~1000 mL ____ 1-3 hs,_____________________
ICRA,Levofloxacin,Cravit __ 500mg/100mL,QANB,,___: Respiratory tract_ ENT_ GUT infection. Intrauterine infections_ cervicitis_ uterine adnesxitis_ folliculitis. GIT infections_ lymphangitis_ mild to moderate skin & skin tissue infections. ___: Dizziness_ GI disturbances_ rash_ pruritus_ vaginitis_ genital moniliasis_ taste perversion_ insomnia_ tendinitis. Rarely_ anaphylactic reactions_ Lyell's syndrome_ Stevens-Johnson's syndrome. Gastrointestinal: Diarrhea (ophthalmic_ 1% to 2%; oral or intravenous_ 5% )_ Nausea (ophthalmic_ 1% to 2%; oral or intravenous_ 7% ) Neurologic: Headache (ophthalmic_ 8% to 10% ; oral and intravenous_ 6% ) __: Hypersensitivity to quinolones. Pregnancy & lactation. Children & growing adolescents < 18 years. Tendinitis or tendon rupture.,,__,adult: by slow IV infusion. Community-acquired pneumonia 500 mg once-bid. Complicated UTI 250 mg once daily Skin and soft tissue infections 500 mg bid. Dosage may be increased if necessary in severe infections. Max treatment duration: 14 days,,,,_______,,,,,,,,,,
LAUG3,Amoxicillin + Clavulanic Acid,Augmentin__ 457mg/5mL_ 35mL,QANB,Treatment of infections due to Staph_ Strep_ pneumococcus_ meningococcus & other susceptible organisms such as infections of the upper & lower respiratory tract_ GUT_ skin & soft tissue_ bone & joint. Dental infections_ septic abortion_ puerperal sepsis_ intra-abdominal sepsis. Vial Also indicated for prophylaxis against infection which may be associated with major surgical procedures such as GI_ pelvic_ head & neck_ cardiac_ renal_ joint replacement & biliary tract.,Hypersensitivity to penicillins_ possible cross sensitivity with other _-lactam antibiotics. History of penicillin-associated cholestatic jaundice/hepatic dysfunction.,Common: Diaper rash (3.5-6%)_ Rash (1.1-3%)_ Urticaria_ Diarrhea (2.9-14.5%)_ Loose stool (1.6-9%)_ Nausea (up to 3%)_ Vomiting (up to 2.2%)_ Mycosis (3.3%)_ Vaginitis (1%)_ Candidiasis (1.4%) Serious: Drug reaction with eosinophilia and systemic symptoms_ Generalized exanthematous pustulosis_ acute_ Stevens-Johnson syndrome_ Toxic epidermal necrolysis_ Clostridium difficile diarrhea_ Cholestasis_ Hepatitis_ Hepatotoxicity_ Anaphylaxis_ Hypersensitivity reaction_ Angioedema_ Serum sickness due to drug,30____________________2-8_______________,(Amoxicillin 400mg + Clavulanic Acid 57mg/ 5mL) Usual dose (amoxicillin/clavulanate): 25/3.6-45/6.4 mg/kg/day. Children 2 years and over: 2-6 years (13-21 kg): 2.5-5 mL twice daily; 7-12 years (22-40 kg): 5-10 mL twice daily. Children aged 2 months to under 2 years: dose according to body weight: 2 kg: 0.3-0.6 mL every 12 hours_ 3 kg: 0.5-0.8 mL every 12 hours_ 4 kg: 0.6-1.1 mL every 12 hours_ 5 kg: 0.8-1.4 mL every 12 hours_ 6 kg: 0.9-1.7 mL every 12 hours_ 7 kg: 1.1-2.0 mL every 12 hours_ 8 kg: 1.3-2.3 mL every 12 hours_ 9 kg: 1.4-2.5 mL every 12 hours_ 10 kg: 1.6-2.8 mL every 12 hours_ 11 kg: 1.7-3.1 mL every 12 hours_ 12 kg: 1.9-3.4 mL every 12 hours_ 13 kg: 2.0-3.7 mL every 12 hours_ 14 kg: 2.2-3.9 mL every 12 hours_ 15 kg: 2.3-4.2 mL every 12 hours. The following Pediatric dose recommendation is from Sanford Guide to Antimicrobial Therapy.(2022/11/08): Age>28 days: 25-100mg/kg/day divided Q8-12H.,______,,_____,____,Human data suggest risk in 1st and 3 rd trimesters,AMOXICILLIN PREGNANCY RECOMMENDATION: Human Data Suggest Risk in 1st and 3rd Trimesters CLAVULANATE_ POTASSIUM PREGNANCY RECOMMENDATION: Compatible,No (Limited) Human Data - Probably Compatible _(__)__ - ___,WHO: Compatible with breastfeeding Micromedex: Infant AMOXICILLIN BREASTFEEDING RECOMMENDATION: Compatible CLAVULANATE_ POTASSIUM BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible,AC;AC15;PC;PO;WM;,,,,,
OAUG1,Amoxicillin + Clavulanic Acid,AUGMENTIN 1gm,QANB,Treatment of infections due to Staph_ Strep_ pneumococcus_ meningococcus & other susceptible organisms such as infections of the upper & lower respiratory tract_ GUT_ skin & soft tissue_ bone & joint. Dental infections_ septic abortion_ puerperal sepsis_ intra-abdominal sepsis.,Patients with a history of allergy to _-lactams (penicillins_ cephalosporins). Patients with a history of jaundice or liver dysfunction associated with AUGMENTIN or penicillin.,Common: Diaper rash (3.5-6%)_ Rash (1.1-3%)_ Urticaria_ Diarrhea (2.9-14.5%)_ Loose stool (1.6-9%)_ Nausea (up to 3%)_ Vomiting (up to 2.2%)_ Mycosis (3.3%)_ Vaginitis (1%)_ Candidiasis (1.4%) Serious: Drug reaction with eosinophilia and systemic symptoms_ Generalized exanthematous pustulosis_ acute_ Stevens-Johnson syndrome_ Toxic epidermal necrolysis_ Clostridium difficile diarrhea_ Cholestasis_ Hepatitis_ Hepatotoxicity_ Anaphylaxis_ Hypersensitivity reaction_ Angioedema_ Serum sickness due to drug,__,(Amoxicillin 875 mg and clavulanate 125 mg per Tab) Acute otitis media: (immediate-release tablets_ suspension) severe infections_ 875 mg ORALLY every 12 hr Infection of skin AND/OR subcutaneous tissue: (immediate-release tablets_ suspension) severe infections_ 875 mg ORALLY every 12 hr Lower respiratory tract infection: (immediate-release tablets_ suspension) 875 mg ORALLY every 12 hr Sinusitis: (initial empiric therapy) 875 mg/125 mg ORALLY twice daily for 5 to 7 days Urinary tract infectious disease: (immediate-release tablets_ suspension) severe infections_ 875 mg ORALLY every 12 hr Acute otitis media: severe infections or treatment failure_ 90 mg/kg/day (amoxicillin component) ORALLY in 2 divided doses for 10 days Acute otitis media:3 months and older and under 40 kg_ 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hr for 10 days_ depending on severity of infection Acute otitis media: (immediate-release tablets_ suspension) severe infections_ 40 kg and greater; 875 mg ORALLY every 12 hr Infection of skin AND/OR subcutaneous tissue: 3 months and older and under 40 kg_ 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hr_ depending on severity of infection Infection of skin AND/OR subcutaneous tissue: (immediate-release tablets_ suspension) severe infections_ 40 kg and greater; 875 mg ORALLY every 12 hr Lower respiratory tract infection:3 months and older and under 40 kg_ 25 to 45 mg/kg/day (based on amoxicillin component) ORALLY divided every 12 hr_ depending on severity of infection Lower respiratory tract infection: 40 kg and greater; 875 mg ORALLY every 12 hr Sinusitis: (initial empiric therapy) 45 mg/kg/day (amoxicillin component) ORALLY twice daily for 10 to 14 days Sinusitis: (second-line_ high-dose) 90 mg/kg/day (amoxicillin component) ORALLY twice daily Sinusitis: 3 months and older and under 40 kg_ 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hours_ depending on severity of infection Sinusitis: severe infections_ 40 kg and greater; 875 mg (amoxicillin component) ORALLY every 12 hr Urinary tract infectious disease: 3 months and older and under 40 kg_ 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hr_ depending on severity of infection Urinary tract infectious disease: severe infections_ 40 kg and greater; 875 mg ORALLY every 12 hr,______,,_____,____,,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,WHO: Compatible with breastfeeding Micromedex: Infant,,,,,,
OHEPS,Adefovir Dipivoxil,Hepsera 10mg,QANB,,___:Treatment of chronic hepatitis B in adults with evidence of hepatitis B viral replication. ____ Neurologic: Asthenia (13% ) Renal: Serum creatinine raised,,__,Adult 18-65 years 10 mg once daily.,,,,_______,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,Contraindicated (HIV),,,,,,
OCRE,Rosuvastatin,Crestor 10mg,CAVS,Treatment of primary hypercholesterolaemia (type IIa including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia (type IIb) as an adjunct to diet when response to diet & other non-pharmacological measures are inadequate. Treatment of homozygous familial hypercholesterolaemia_ either alone or as an adjunct to diet & other non-pharmacological (e.g. exercise_ weight reduction) is inadequate. Homozygous familial hypercholesterolaemia as an adjunct to diet and other lipid lowering treatments (e.g. LDL apheresis) or if such treatments are not appropriate.,Active liver disease including unexplained_ persistent elevations of serum transaminases & any serum transaminase elevation exceeding 3 times the upper limit of normal; severe renal impairment (creatinine clearance <30 mL/min)_ myopathy; patients on concomitant cyclosporin; pregnancy & lactation.,Constipation_ nausea_ abdominal pain_ headache_ dizziness_ myalgia_ asthenia. Gastrointestinal: Abdominal pain (2.4% )_ Nausea (2% to 3.4% ) Musculoskeletal: Arthralgia (10.1% )_ Myalgia (2.8% to 12.7% _ ) Neurologic: Asthenia (0.9% to 4.7% )_ Headache (3.1% to 5.5% ) Renal: Urinary tract infectious disease (2.3% .),30___,Adult and children (10-17 years): 5-20 mg orally once daily with or without food.,_____,ALT_AST____UTN_3______________,_____,____,Contraindicated – 1st trimester,[__] ___________HMG-CoA__J__________________________________________________________________________________________________________________________________________,Contraindicated _______,[__] __________________________HMG-CoA__J________________________________CRESTOR___________,AC;AC15;PC;PO;WM;,,,,,
OAMD,Alum Hydroxide + Mag Hydroxide + Dimethylpolysilox,A.M.D.,ALIM,,I: Hyperacidity_ functional gastric bloating_ gastritis_ flatulence.,,RT,2 tab tid~qid pc 1hr.,,,,____,,,,,,,,,,
OGOW,Dihydroxyalumium Allantoinate + Metamagnesium Alum,Gowell,ALIM,,I: Hyperacidity_ peptic and doudenal ulcer_ gastritis_ flatulence.,,RT,2 tab tid pc 1hr.,,,,____,,,,,,,,,,
OMEI,Diclofenac,Meitifen SR 75mg,CNEU,,I: An analgesic_ antipyretic_ anti-inflammatory agents used in RA. and other rheumatic disorders. ADR: Occasionally_ GI disorders; edema; headache_ dizziness_ vertigo; rash. Rarely_ peptic ulcer_ GI bleeding; hepatitis. Blood disorders. CI: Peptic ulcer. Hypersensitivity to diclofenac_ aspirin and other prostaglanding-synthetase inhibiting drugs.,,RT,75 mg qd - bid,,,,____,,,,,,,,,,
IINF,Combined DPT+ Inactivated Polio + Hib,Infanrix-IPV+Hib(_____),HIMM,,I: Active immunization against diphtheria_ tetanus_ pertussis_ po-liomyelitis and Haemophilus influenzae type b caused diseases. CI: Acute febrile illness. Encephalopathy of unknown aetiology_ occurring within 7 days following previous vaccination with per-tussis-containing vaccination. Hypersensitive to neomycin or any other components of this product. ADR: Redness_ swelling and pain at injection site. Fever_ unusual crying_ vomitting diarrhea_ loss of appetite_ restlessness.,,2 ~ 8 °C,Deep IM. Primary immunization: complete all 3 doses before the first 6 mth of life_ start from the age of 2 mth_ subsequent doses at intervals > 1 mth. A reinforcing 4th dose is recommended to be given in the 2nd yr of life.,,,,____,,,,,,,,,,
OEXE,Rivastigmine,Exelon 3mg,CNEU,Mild to moderate dementia associated with Alzheimer's disease. Mild to moderate dementia associated with Parkinson's disease.,Hypersensitivity to rivastigmine_ other carbamate derivatives_ or other components of the product.,Nausea_ vomiting_ diarrhea_ abdominal pain_ loss of appetite_ dyspepsia_ dizziness_ headache. Gastrointestinal: Diarrhea (6% )_ Nausea (7% )_ Vomiting (6% ),30___,Initially 1.5 mg BID for 2 weeks. If well tolerated_ increase in increments of 1.5 mg orally twice daily at minimum of every 2 weeks. Maintenance: 3-12 mg daily. Maximun: 12 mg/day.,______,,______,____,No (limited) human data – animal data suggest low risk,[__] Exelon________________ _________________________________rivastigmine_/________________________ ____________________________________________________,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,[__] Exelon__________________________rivastigmine__rivastigmine___________________rivastigmine____________________ ______Exelon_______,PC;PO;WM;,,,,,
EARTI,Hydroxypropylmethylcellulose,Artificial tear 10mL,TOPH,,___:____(A034503429),,RT,D: 1-2 gtt as needed.,,,,____,,,,,,,,,,
ETIL5,Timolol,Timolast 0.5%_ 5mL,TOPH,,,,,,,,,,,,,,,,,,,
ETIL2,Timolol,Timolast 0.25%_ 5mL,TOPH,,,,,,,,,,,,,,,,,,,
OACET,Acetazolamide,Acetazolamide 250mg,CAVS,Management of glaucoma; edema_ epilepsy.,Chronic noncongestive angle-closure glaucoma; long-term use may mask symptoms of worsening glaucoma Cirrhosis or marked liver disease or dysfunction ; risk of hepatic encephalopathy Hyperchloremic acidosis Hypersensitivity to acetaZOLAMIDE or any component of the product Hypersensitivity to sulfonamides or other sulfonamide derivatives; cross-sensitivity may occur Hypokalemia Hyponatremia Renal dysfunction or marked disease Suprarenal gland failure,Frequency not defined: Flushing_ Allergic skin reaction_ skin photosensitivity_ Electrolyte disorder_ glycosuria_ hyperglycemia_ hypoglycemia_ hypokalemia_ hyponatremia_ Decreased appetite_ diarrhea_ dysgeusia_ melena_ nausea_ vomiting_ Crystalluria_ hematuria_ Immune thrombocytopenia_ leukopenia_ Abnormal hepatic function tests_ cholestatic jaundice_ fulminant hepatic necrosis_ hepatic insufficiency_ Pain at injection site_ Ataxia_ confusion_ depression_ dizziness_ drowsiness_ excitement_ fatigue_ flaccid paralysis_ headache_ malaise_ Auditory disturbance_ tinnitus_ Polyuria_ Fever. Postmarketing: Acute generalized exanthematous pustulosis_ maculopapular rash_ Stevens-Johnson syndrome_ toxic epidermal necrolysis_ urticaria_ Growth retardation (children)_ metabolic acidosis_ Agranulocytosis_ aplastic anemia_ thrombocytopenia_ Anaphylaxis_ Drug reaction with eosinophilia and systemic symptoms_ Paresthesia _ Acute angle-closure glaucoma_ choroidal effusion_ myopia_ Renal failure syndrome.,15-30_,Adult usual dosage: Glaucoma_ open-angle: Initial_ 250 mg QD-QID. Glaucoma_ secondary or preoperative treatment to reduce intraocular pressure: 250 mg BID to Q4H_ or 500 mg initial dose followed by 125 or 250 mg every 4 hours. Epilepsy: 8-30 mg/kg daily in divided doses_ optimum range: 375-1000 mg daily. Edema: 5 mg/kg (usual dosage: 250 to 375 mg) QD in the morning for 1 or 2 days_ alternating with a day of rest. [Micromedex 2021/06/17] Acute mountain sickness; Treatment and Prophylaxis: 500-1000 mg daily_ in divided doses; during rapid ascent_ 1000 mg/day is recommended; initiate 24-48 hours before ascent and continue for 48 hours or longer while at high altitude. Pediatric usual dosage: Glaucoma: 8-30 mg/kg (usual dosage: 10-15 mg/kg) or 300-900 mg/m2 daily in divided doses. Epilepsy: 8-30 mg/kg daily in divided doses. Edema: 5 mg/kg or 150 mg/m2 QD in the morning for 1 or 2 days_ alternating with a day of rest.,______,,_____,_______,Compatible,[__] ____________________________________________________________ ___________________________________________,Compatible ______,[__] _______________________________,AC;AC15;PC;PO;WM;,,,,,
