藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
OARC,Etoricoxib,Arcoxia 60mg,CNEU,Acute & chronic treatment of the signs & symptoms of osteoarthritis (OA) & rheumatoid arthritis (RA); acute gouty arthritis; primary dysmenorrhea.,CHF (NYHA II-IV)， established ischemic heart disease &/or cerebrovascular disease (including those who have recently undergone coronary artery bypass graft surgery or angioplasty). Patient with coronary artery bypass graft (CABG) in 14 days.,Asthenia/fatigue， dizziness， lower extremity edema， hypertension， dyspepsia， heartburn， nausea， headache， increased ALT & AST levels. Also， hypersensitivity reactions， dysgeusia， CHF， abdominal pain， peptic ulceration & bleeding， vomiting， angioedema， pruritus， rash， urticaria， renal insufficiency.,30℃以下,Osteoarthritis: 30mg or 60mg QD Rheumatoid arthritis: 60mg or 90mg QD Ankylosing spondylitis: 60mg or 90mg QD Acute gouty arthritis: 120mg QD， treatment should not exceed 8 days Primary menstrual pain: 120mg QD， treatment should not exceed 8 days Pain relief after dental surgery: 90mg， treatment should not exceed 3 days Pain relief after gynecological surgery: 90mg or 120mg QD， treatment should not exceed 5 days No dose adjustment is required based on age， gender or race.,需調整劑量,[仿單]Etoricoxib 會分泌進入授乳大鼠的乳汁中，目前尚不確知本藥是否會分泌進入人類的乳汁。由於許多藥物都會分泌進入人類乳汁，而且餵哺母乳的嬰兒可能會因本藥抑制前列腺素合成而產生副作用，因此，應謹慎考慮本藥對母親的重要性，並據以決定要停止餵哺母乳或是停用本藥。,無需調整劑量,沒有資料,Uknown 沒有資料,[20201124非類固醇消炎藥品安全資訊風險溝通表] 懷孕20週以上孕婦使用NSAIDs可能會導致胎兒腎功能障礙並導致羊水過少；妊娠30週以上之孕婦可能導致胎兒動脈導管過早閉合的風險。 [仿單] 和其他已知會抑制前列腺素合成的藥物一樣，在懷孕約30週或之後應避免使用ARCOXIA，因為可能會導致動脈導管過早閉鎖。在懷孕20週或之後接受NSAIDs治療的孕婦曾被報導有胎兒腎功能異常導致羊水量減少(羊水過少)。在某些情況下，這可能會導致新生兒腎功能異常。平均而言，此類作用可能在NSAID治療開始數天至數週後發生，但在頻率極低的情況下曾通報於開始使用NSAID後48小時內；羊水過少通常(但並非總是如此)可於治療中斷後逆轉。長時間羊水過少的併發症可能包括例如肢體攣縮和延遲肺成熟。在某些上市後新生兒腎功能不全的個案中，需要進行侵入性程序，例如交換輸血或透析。不建議懷孕20週之後的孕婦使用ARCOXIA；如果發生羊水過少，請停用ARCOXIA，並根據臨床實務進行追蹤。 以兔子所進行的生殖研究顯示，在高達15 mg/kg/day的劑量下(全身 暴藥量約為人類劑量[90毫克]的1.5倍)，並未出現任何發育異常的 跡象。在全身暴藥量約為2倍成人劑量(90毫克)的etoricoxib治療的 雌兔，觀察到其心血管畸形但發生率低，亦見增加著床後流產(post implantation loss)。而以全身暴藥量約等於或小於人類每日劑量(90 毫克)，未觀察到對發育有影響。不過，動物生殖研究並不一定能預 測人類的反應。目前並無任何適當且控制良好的孕婦研究。只有在 潛在效益確定超越對胎兒的潛在危險時，才可於懷孕的最初20週期 間使用ARCOXIA。,Unknown 沒有資料,[仿單]Etoricoxib 會分泌進入授乳大鼠的乳汁中，目前尚不確知本藥是否會分泌進入人類的乳汁。由於許多藥物都會分泌進入人類乳汁，而且餵哺母乳的嬰兒可能會因本藥抑制前列腺素合成而產生副作用，因此，應謹慎考慮本藥對母親的重要性，並據以決定要停止餵哺母乳或是停用本藥。,AC;AC15;PC;PO;WM;,,,,,
EIND,Indomethacin,Indomethacin supp 50mg,CNEU,,適應症: Alleviation of pain. 副作用: GI upsets， headache， dizziness， tinnitus， lightheadedness， depression， insomnia， psychiatric disturbances， peripheral neuropathy， blurred vision， confusion; hyperglycaemia， hyperkalaemia. Gastrointestinal: Abdominal pain (1% to 3% )， Constipation (1% to 3% )， Diarrhea (1% to 3% )， Indigestion (3% to 9% )， Nausea (3% to 9% ) Neurologic: Dizziness， Headache， Somnolence Otic: Tinnitus Psychiatric: Depression Other: Fatigue 禁忌: Active peptic ulcer; pregnancy (3rd trimester)， hypersensitivity to aspirin and other NSAIDs; treatment of perioperative pain in CABG surgery; severe renal impairment; rectal admin in patients with proctitis and haemorrhoids; neonates with necrotizing enterocolitis， active bleeding， thrombocytopenia， coagulation defects and untreated infections.,,室溫,50-100 mg qd.,無需調整劑量,,無需調整劑量,盡量避免,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,RECT;,,,,,
ODIVI,Estradiol + Medroxyprogesterone,Diviseq 28's/pk,HM,,I: Signs & symptoms of naturally or surgically induced estrogen deficiency due to monopause. 副作用: GI disturbances， nausea， vomiting， weight gain， breast tenderness， decreased libido， headache， chloasma， itching. CI: known， suspected or past history of breast carcinoma， pregnancy. Undiagnosed abnormal gentital bleeding. Known or suspected estrogen-dependent neoplasia. Active thrombophlebitis or thromboembolic disorders. Application on the breast & vulvar mucosa areas. Acute or chronic liver disease， porphyria.,,室溫,1 tab daily in a 28-day cycle.,,,,不可使用,,,,,,,,,,
OACEO,Acemetacin,ACEO 90mg,CNEU,,Analgesia， antipyresis， anti-inflammatory， actue gout.,,,1-2 tab daily Acute gout: 180 mg (1 tab BID) until pain is relieved.,,,,,,,,,,,,,,
OPAN3,Nefopam,Panagesic 30mg,CNEU,,適應症: Acute & chronic pain including post-op， dental， musculoskeletal， acute traumatic & cancer pain. 副作用: Nausea， vomiting， nervousness， dry mouth & light-headedness， blurred vision， drowsiness， sweating， insomnia， headache， tachycardia. 禁忌: History of convulsive disorders or those taking MAOI. Pregnancy.,,室溫,Adult: 1 tab tid-qid In severe pain， single dose can be increased to 90 mg. Max recommanded dose in 24 hr: 300 mg,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,,,,,,
IGEL,Succinylated Gelatin,Gelofusine 500mL， 4%,HEMT,Primary vol replacement in hypovolaemia & shock due to acute blood or fluid loss， burns & sepsis; prophylaxis of hypotension during epidural or spinal anaesth; haemodilution & autologous transfusion; extracorporeal circulation (haemodialysis， heart lung machine).,Hypervolemia; hyperhydration; severe cardiac insufficiency; severe bleeding disorders; severe renal insufficiency.,As with all colloidal vol substitutes， allergic， (anaphylactic or anaphylactoid) reactions of varying severity can occur after infusion of Gelafundin/Gelofusine.,25℃以下,Compensation of minor losses of blood or plasma， pre- & intraoperative routine prophylaxis 500-1，000 mL infused over 1-3 hr. Major losses of blood or plasma Average dose is between 1，000 & 2，000 mL. Emergency situations or shock conditions Initially 500 mL administered by forced infusion over 5-10 mins. Thereafter， the infusion can be continued with doses corresponding to actual losses of blood or plasma. During extracorporal circulation Normally， between 500-1，000 mL.,無需調整劑量,,無需調整劑量,沒有資料,Uknown 沒有資料,,Unknown 沒有資料,,IVD;,,,,500~1000 mL 滴注超過 1-3 hs,此產品廠商未做相容性試驗，故不建議稀釋使用
ICRA,Levofloxacin,Cravit 針劑 500mg/100mL,QANB,,適應症: Respiratory tract， ENT， GUT infection. Intrauterine infections， cervicitis， uterine adnesxitis， folliculitis. GIT infections， lymphangitis， mild to moderate skin & skin tissue infections. 副作用: Dizziness， GI disturbances， rash， pruritus， vaginitis， genital moniliasis， taste perversion， insomnia， tendinitis. Rarely， anaphylactic reactions， Lyell's syndrome， Stevens-Johnson's syndrome. Gastrointestinal: Diarrhea (ophthalmic， 1% to 2%; oral or intravenous， 5% )， Nausea (ophthalmic， 1% to 2%; oral or intravenous， 7% ) Neurologic: Headache (ophthalmic， 8% to 10% ; oral and intravenous， 6% ) 禁忌: Hypersensitivity to quinolones. Pregnancy & lactation. Children & growing adolescents < 18 years. Tendinitis or tendon rupture.,,室溫,adult: by slow IV infusion. Community-acquired pneumonia 500 mg once-bid. Complicated UTI 250 mg once daily Skin and soft tissue infections 500 mg bid. Dosage may be increased if necessary in severe infections. Max treatment duration: 14 days,,,,除非治療上需要,,,,,,,,,,
LAUG3,Amoxicillin + Clavulanic Acid,Augmentin糖漿 457mg/5mL， 35mL,QANB,Treatment of infections due to Staph， Strep， pneumococcus， meningococcus & other susceptible organisms such as infections of the upper & lower respiratory tract， GUT， skin & soft tissue， bone & joint. Dental infections， septic abortion， puerperal sepsis， intra-abdominal sepsis. Vial Also indicated for prophylaxis against infection which may be associated with major surgical procedures such as GI， pelvic， head & neck， cardiac， renal， joint replacement & biliary tract.,Hypersensitivity to penicillins， possible cross sensitivity with other β-lactam antibiotics. History of penicillin-associated cholestatic jaundice/hepatic dysfunction.,Diarrhea， nausea， vomiting， skin candidiasis. Uncommonly dizziness， headache， indigestion， rash， pruritus， urticaria. Rarely， reversible leucopenia， thrombocytopenia， erythema multiforme.,30℃以下且置於乾燥處。泡製成溶液後請儲存於2-8℃且不使用超過七天。不可冷凍。,Usual dose (amoxicillin/clavulanate): 25/3.6-45/6.4 mg/kg/day. Children 2 years and over: 2-6 years (13-21 kg): 2.5-5 mL twice daily; 7-12 years (22-40 kg): 5-10 mL twice daily. Children aged 2 months to under 2 years: dose according to body weight: 2 kg: 0.3-0.6 mL every 12 hours， 3 kg: 0.5-0.8 mL every 12 hours， 4 kg: 0.6-1.1 mL every 12 hours， 5 kg: 0.8-1.4 mL every 12 hours， 6 kg: 0.9-1.7 mL every 12 hours， 7 kg: 1.1-2.0 mL every 12 hours， 8 kg: 1.3-2.3 mL every 12 hours， 9 kg: 1.4-2.5 mL every 12 hours， 10 kg: 1.6-2.8 mL every 12 hours， 11 kg: 1.7-3.1 mL every 12 hours， 12 kg: 1.9-3.4 mL every 12 hours， 13 kg: 2.0-3.7 mL every 12 hours， 14 kg: 2.2-3.9 mL every 12 hours， 15 kg: 2.3-4.2 mL every 12 hours. The following Pediatric dose recommendation is from Sanford Guide to Antimicrobial Therapy.(2022/11/08): Age>28 days: 25-100mg/kg/day divided Q8-12H.,無需調整劑量,WHO: Compatible with breastfeeding Micromedex: Infant AMOXICILLIN BREASTFEEDING RECOMMENDATION: Compatible CLAVULANATE， POTASSIUM BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible,需調整劑量,可能安全,Human data suggest risk in 1st and 3 rd trimesters,AMOXICILLIN PREGNANCY RECOMMENDATION: Human Data Suggest Risk in 1st and 3rd Trimesters CLAVULANATE， POTASSIUM PREGNANCY RECOMMENDATION: Compatible,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,WHO: Compatible with breastfeeding Micromedex: Infant AMOXICILLIN BREASTFEEDING RECOMMENDATION: Compatible CLAVULANATE， POTASSIUM BREASTFEEDING RECOMMENDATION: No Human Data—Probably Compatible,AC;AC15;PC;PO;WM;,,,,,
OAUG1,Amoxicillin + Clavulanic Acid,AUGMENTIN 1gm,QANB,,適應症:Treatment of infections due to Staph， Strep， pneumococcus， meningococcus & other susceptible organisms such as infections of the upper & lower respiratory tract， GUT， skin & soft tissue， bone & joint. Dental infections， septic abortion， puerperal sepsis， intra-abdominal sepsis. 副作用:Diarrhea， nausea， vomiting， mucocutaneous candidiasis. Dermatologic: Diaper rash (3.5% )， Rash (1.1% to 3% ) Gastrointestinal: Diarrhea (2.9% to 14.5% )， Loose stool (1.6% )， Nausea (2.1% to 3% )， Vomiting (1% to 2.2% ) Reproductive: Mycosis (3.3% )， Vaginitis (1% ) Other: Candidiasis (1.4% ) 禁忌:History of hypersensitivity to β-lactams. History of penicillin-associated jaundice/hepatic dysfunction.,,室溫,(Amoxicillin 875 mg and clavulanate 125 mg per Tab) Acute otitis media: (immediate-release tablets， suspension) severe infections， 875 mg ORALLY every 12 hr Infection of skin AND/OR subcutaneous tissue: (immediate-release tablets， suspension) severe infections， 875 mg ORALLY every 12 hr Lower respiratory tract infection: (immediate-release tablets， suspension) 875 mg ORALLY every 12 hr Sinusitis: (initial empiric therapy) 875 mg/125 mg ORALLY twice daily for 5 to 7 days Urinary tract infectious disease: (immediate-release tablets， suspension) severe infections， 875 mg ORALLY every 12 hr Acute otitis media: severe infections or treatment failure， 90 mg/kg/day (amoxicillin component) ORALLY in 2 divided doses for 10 days Acute otitis media:3 months and older and under 40 kg， 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hr for 10 days， depending on severity of infection Acute otitis media: (immediate-release tablets， suspension) severe infections， 40 kg and greater; 875 mg ORALLY every 12 hr Infection of skin AND/OR subcutaneous tissue: 3 months and older and under 40 kg， 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hr， depending on severity of infection Infection of skin AND/OR subcutaneous tissue: (immediate-release tablets， suspension) severe infections， 40 kg and greater; 875 mg ORALLY every 12 hr Lower respiratory tract infection:3 months and older and under 40 kg， 25 to 45 mg/kg/day (based on amoxicillin component) ORALLY divided every 12 hr， depending on severity of infection Lower respiratory tract infection: 40 kg and greater; 875 mg ORALLY every 12 hr Sinusitis: (initial empiric therapy) 45 mg/kg/day (amoxicillin component) ORALLY twice daily for 10 to 14 days Sinusitis: (second-line， high-dose) 90 mg/kg/day (amoxicillin component) ORALLY twice daily Sinusitis: 3 months and older and under 40 kg， 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hours， depending on severity of infection Sinusitis: severe infections， 40 kg and greater; 875 mg (amoxicillin component) ORALLY every 12 hr Urinary tract infectious disease: 3 months and older and under 40 kg， 25 to 45 mg/kg/day (amoxicillin component) ORALLY divided every 12 hr， depending on severity of infection Urinary tract infectious disease: severe infections， 40 kg and greater; 875 mg ORALLY every 12 hr,無需調整劑量,WHO: Compatible with breastfeeding Micromedex: Infant,需調整劑量,可能安全,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,WHO: Compatible with breastfeeding Micromedex: Infant,,,,,,
OHEPS,Adefovir Dipivoxil,Hepsera 10mg,QANB,,適應症:Treatment of chronic hepatitis B in adults with evidence of hepatitis B viral replication. 副作用： Neurologic: Asthenia (13% ) Renal: Serum creatinine raised,,室溫,Adult 18-65 years 10 mg once daily.,,Contraindicated (HIV),,除非治療上需要,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,Contraindicated (HIV),,,,,,
OCRE,Rosuvastatin,Crestor 10mg,CAVS,Treatment of primary hypercholesterolaemia (type IIa including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia (type IIb) as an adjunct to diet when response to diet & other non-pharmacological measures are inadequate. Treatment of homozygous familial hypercholesterolaemia， either alone or as an adjunct to diet & other non-pharmacological (e.g. exercise， weight reduction) is inadequate. Homozygous familial hypercholesterolaemia as an adjunct to diet and other lipid lowering treatments (e.g. LDL apheresis) or if such treatments are not appropriate.,Active liver disease including unexplained， persistent elevations of serum transaminases & any serum transaminase elevation exceeding 3 times the upper limit of normal; severe renal impairment (creatinine clearance <30 mL/min)， myopathy; patients on concomitant cyclosporin; pregnancy & lactation.,Constipation， nausea， abdominal pain， headache， dizziness， myalgia， asthenia. Gastrointestinal: Abdominal pain (2.4% )， Nausea (2% to 3.4% ) Musculoskeletal: Arthralgia (10.1% )， Myalgia (2.8% to 12.7% ， ) Neurologic: Asthenia (0.9% to 4.7% )， Headache (3.1% to 5.5% ) Renal: Urinary tract infectious disease (2.3% .),30℃以下,Adult and children (10-17 years): 5-20 mg orally once daily with or without food.,需調整劑量,,需調整劑量,不可使用,Contraindicated – 1st trimester,,Contraindicated 哺乳期使用禁忌,,AC;AC15;PC;PO;WM;,,,,,
